Retailer ,Stock Code,Category ,Stock Desc,Eye shape 1,AR Filter URL (Dev only,Boots URL
Boots,70375K,3/4 Length  ,3/4 Length No.013,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70375K,https://www.boots.com/eylure-3-4-length-no-013-lashes-10305753
Boots,6001816N,3/4 Length  ,3/4 Length No.003,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=6001816N,https://www.boots.com/eylure-accent-lashes-003-10228136
Boots,6001817N,3/4 Length  ,3/4 Length No.005,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=6001817N,https://www.boots.com/eylure-accent-lashes-005-10228137
Superdrug ,70133K,3/4 Length  ,3/4 Length No.011  ,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70133K,
Boots,70872K,3/4 Length  ,3/4 Length No.001,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70872K,https://www.boots.com/webapp/wcs/stores/servlet/ProductDisplay?errorViewName=ProductDisplayErrorView&storeId=11352&urlLangId=-1&productId=3054134&catalogId=28501&langId=-1
Boots,70122K,3/4 Length  ,3/4 Length No.002,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70122K,https://www.boots.com/eylure-3-quarter-length-002--10293360
Boots,70123K,3/4 Length  ,3/4 Length No.004,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70123K,https://www.boots.com/eylure-3-quarter-length-004--10293361
Superdrug ,6001943N,3/4 Length  ,3/4 Length No.007,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=6001943N,
Boots,6002418N,3/4 Length  ,3/4 Length No.008,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=6002418N,https://www.boots.com/Eylure-Fluttery-Light-008-False-Lashes-10276956
Superdrug ,70605K,3/4 Length  ,3/4 Length No.008 Twin Pack,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=6002418N,
Superdrug ,70053K,3/4 Length  ,3/4 Length No.009,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70053K,
Superdrug ,70189K,3/4 Length  ,3/4 Length No.012,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70189K,
Boots,70462K,3/4 Length  ,3/4 Length No.014,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70462K,https://www.boots.com/eylure-3-4-length-no-014-10316675
Superdrug ,70463K,3/4 Length  ,3/4 Length No.015,All,https://www.eylure.co.uk/try-on/?range=_3_4_length&product=70463K,
